      # name ref Mv logRe logM* logSigma_e
   LMC-R136  7 -11.7  0.710  4.780  2.560
  LMC-SL663  7  -7.0  1.591  4.670  0.690
  LMC-SL842  7  -5.3  0.649  3.910  1.810
  LMC-SL855  7  -4.9  0.953  3.490  0.780
     MW-AM1  7  -4.6  1.245  4.040  0.760
    MW-ARP2  7  -4.7  1.169  4.090  0.950
  MW-IC1276  7  -7.0  0.572  5.100  3.160
  MW-IC4499  7  -7.2  0.974  5.100  2.360
  MW-NGC104  7  -9.4  0.618  6.050  4.020
 MW-NGC1261  7  -7.4  0.512  5.200  3.380
 MW-NGC1851  7  -8.1  0.251  5.490  4.190
 MW-NGC1904  7  -7.5  0.389  5.200  3.620
 MW-NGC2298  7  -5.7  0.372  4.490  2.950
 MW-NGC2419  7  -9.3  1.299  5.950  2.560
 MW-NGC2808  7  -9.2  0.348  5.930  4.430
